customer_message,suggested_intent,support_reply,gold_intent,annotation_note
Do you have a desktop application for Windows10 which manages calender on iCloud? I don't like Web app.,account_or_icloud,"@312646 At this time, managing iCloud Calendar from a Windows computer can only be done using a web browser.",account_or_icloud,
Same here 💔,general_or_other,"@605609 If you're having an issue with the battery life on your device, we'd like to help get it sorted out. Let's talk more here: https://t.co/GDrqU22YpT",general_or_other,
called 2 and wow Shawn was so rude and hung up...,support_contact_or_dm,@794350 We want to make sure you have a great experience with us. Send us a DM and let us know details about your experience. https://t.co/GDrqU22YpT,support_contact_or_dm,
"id/password theft attempt. i know many friend who have fall for it, sharing it so people/apple users be aware of such attempt. #bewareofSpam",account_or_icloud,@764989 Thanks for letting us know. You can also use the steps here to report those emails to us as well: https://t.co/LNMCdqt6fD,account_or_icloud,
Thank you for your help. The problem seems to have been solved.✅,general_or_other,@247099 That's fantastic to hear! Thanks for keeping us posted. We look forward to hearing from you if any other questions come up.,general_or_other,
"""This accessory may not be supported"" popping up in my phone. how do you fix this pls its getting irritating",support_contact_or_dm,@609160 Let’s team up on this situation. Could you let us know more details via a DM? We’ll keep moving forward from there. https://t.co/GDrqU22YpT,support_contact_or_dm,
I WANT Y’ALL TO EXPLAIN TO ME WHY MY 8 PLUS BATTERY IS GARBAGE. I’VE BEEN ON IT FOR LIKE AN HOUR AND IT’S AT 74%. IT GOES DOWN LIKE 5 PERCENT WHEN I LISTEN TO ONE FUCKING SONG.,battery_or_charging,@138710 We're happy to look into what's happening with your iPhone battery performance. We know how important it is to have your iPhone battery performing at its best. Send us a DM letting us know if you see the message outlined in this article: https://t.co/KyywFa9iZ3 https://t.co/GDrqU22YpT,battery_or_charging,
this pops up when I click on my order number but it says order in progress,order_or_repair,"@433829 Let's reach out to our sales team. You can visit this link and scroll to the bottom to ""Chat Now"": https://t.co/NSXHJ7mLcN",order_or_repair,
i can’t download anything on App Store weather free or to purchase. Signed out then in again and still nothing. 24 hours now,purchase_or_billing,@303998 We're here for you. Are you receiving an error when attempting to download?,purchase_or_billing,
Oh no it's sending a verification code to another device. But I don't have anything else 😔,account_or_icloud,@196809 Let's follow up in DM. We'll take a closer look there. https://t.co/GDrqU22YpT,account_or_icloud,
Yeah I don't see anyone else with this issue on Twitter yet. Hoping Apple has a replacement somewhere bc I will not be happy otherwise,app_or_media_service,"@476183 Hey Chris, we'd love to get your iPhone X working. Send us a DM with any steps you may have tried. We can go from there. https://t.co/GDrqU22YpT",app_or_media_service,
why am I getting: our Apple ID cannot be updated at this time message when trying to change it on my account? I have signed out of everything and followed your online instructions.,ios_or_software_update,@271157 We're happy to look into this with you. Send us a DM to get started. https://t.co/GDrqU22YpT,ios_or_software_update,
"The service centre is in Hyderabad, India",order_or_repair,@606401 We’d like to take a closer look at this. Can you start by letting us know more about the situation via DM? https://t.co/GDrqU22YpT,order_or_repair,
For the third time in five months my watch has unpaired from my phone. It's costing me money & I'm fed up. What do I do?,purchase_or_billing,@360207 Thanks for reaching out! We’d like to take a closer look at this with you. DM us your watchOS version to continue. https://t.co/GDrqU22YpT,purchase_or_billing,
"ok, I’ve got a forgotten password. Go to use the security questions but says wrong DOB. No online chat to be found, help!",account_or_icloud,"@580698 For support with your Apple ID, reach out to our Account Security support here: https://t.co/UJm15vmMM2 https://t.co/GDrqU22YpT",account_or_icloud,
"i was told to do a payment method verification. but it still like this after i use 3 different creditcards. i cant even switch to ""none"" on payment (last pic)",account_or_icloud,@776621 Let's get you in touch with an iTunes Store Advisor at this point if the steps in our previous link did not help.  You can get in touch with them at: https://t.co/SDIe7UiyJN,account_or_icloud,
She says it’s showing but when she goes to purchase in game pieces it possibly won’t do it. She recently lost her debit card and is waiting for a new one. She just got the X. Maybe she has to verify herself?,purchase_or_billing,@119569 Could you have her reach out to us so we could look further into this?,purchase_or_billing,
"locked out of my apple ID bcuz my old phone broke & i had 2 factor authentication on , no one should ever use tht shit",account_or_icloud,@125610 Here's a great article to help you get back into your Apple ID: https://t.co/nXAGZj0EE7,account_or_icloud,
apple music,app_or_media_service,@734663 Thank you. What issues are you experiencing with Apple Music?,app_or_media_service,
So my Apple Music is not working. Im not able to search for music. I don't pay for things that don't work. What's going?,app_or_media_service,@813668 Let's get that Apple Music working for you again. What's happening when you try searching for music? Are you connected to cellular data or Wi-Fi when it fails to work correctly?,app_or_media_service,
love the update but please fix the I️ bug!,ios_or_software_update,@519349 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ios_or_software_update,
I hate your software updates #,ios_or_software_update,@332534 We're here for you. You'll want to follow the instructions in this article: https://t.co/4dqFR4gH4g,ios_or_software_update,
It won’t come up at all and My battery keeps draining,battery_or_charging,"@134549 Please send us a DM of what you see when you try to open it and we will go from there. Also, what version of iOS are you running? https://t.co/GDrqU22YpT",battery_or_charging,
I don’t understand why do we have to have money on our Apple account to down load a free game or app?,account_or_icloud,@550402 We'd like to help you get your apps downloading. Would you tell us a bit more about what's happening via DM? https://t.co/GDrqU22YpT,account_or_icloud,
Hey and has the WORST CUSTOMER SERVICE EVER. I am still on hold. What a bunch of morons.,order_or_repair,@223008 We're happy to help you here. DM us and tell us more about what's happening. https://t.co/GDrqU22YpT,order_or_repair,
": It works for 5 mins on resetting network settings or switching airplane mode on-off, then it again keeps on connecting",connectivity_or_network,"@646860 Got it. When it stops working, does your iPhone display “Searching” or “No Service”?",connectivity_or_network,
Hey Any chance we can turn on Apple Pay Cash after I spent an hour of my weekend updating after being told in the notes Apple Pay Cash was here?,app_or_media_service,"@249945 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week. https://t.co/GDrqU22YpT",app_or_media_service,
fix the fucking iTunes Store. Gotta buy songs twice smh,app_or_media_service,"@230322 Our iTunes Store team can help look into the issue you're having with the iTunes Store and having duplicate purchases, You can reach out to them here to get started:  https://t.co/SDIe7UiyJN",app_or_media_service,
"Did a hard reset, turned off all message options, turned them back on, everthing is up 2 date that I know of, now some contacts will show",support_contact_or_dm,@458049 Thank you. What happens if you go Contacts &gt; tap Bob &gt; tap Message? Are you able to send from there? Please DM and let us know. https://t.co/GDrqU22YpT,support_contact_or_dm,
So it turns out you can have anything but Apple e-mail address for Apple ID according to … What a mess,account_or_icloud,@556539 We'd like to help with any issues you're experiencing. DM us a bit more detail about what's going on and we'll go from there. https://t.co/GDrqU22YpT,account_or_icloud,
why can't I use my card to buy more iCloud storage on my card when I'm on family sharing? Am I missing something??,account_or_icloud,"@585429 On Family Sharing, what you buy is charged to the organizer's card, unless you have store credit. More here: https://t.co/dmLzCj6kTP",account_or_icloud,
So y’all just no gonna fix the “A?” issue ?? I️ know cuz I️ got a 7 y’all don’t care,general_or_other,@501229 We'd like to help out. Check out this link to see if it helps: https://t.co/xU1AGHStV6,general_or_other,
FIX OUR IPHONES. IM TIRED OF SEEING....... I️ Thanks a loyal customer,device_or_hardware,@454557 Join us in Direct Message at the link below. We'll provide you more details there please. https://t.co/GDrqU22YpT,device_or_hardware,
why iphone batteries die at 7% 😐 bitch i️ payed over 900 for this phone and my shit tweaking tf,device_or_hardware,@194023 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from there. https://t.co/GDrqU22YpT,device_or_hardware,
It’s not a constant problem and I can’t force it to happen. Not sure how I can test it.,app_or_media_service,@394878 Let's continue in DM. https://t.co/GDrqU22YpT,app_or_media_service,
the left one doesn’t play any sound and if it does its very faint,general_or_other,"@172387 Alright, do you have access to another device we can test with the EarPods? This will help us isolate the issue.",general_or_other,
So the new iPhone is out and all of a sudden my iPhone starts messing up and can't hold a battery for half a day 🤔 coincidence,device_or_hardware,@594140 We're happy to look into your battery concerns. DM us your model iPhone and the iOS version installed to get started. https://t.co/GDrqU22YpT,device_or_hardware,
"Recently updated OS. Now I get harassment screen ""What's new in Photos"" every time I open the damn thing. How do I turn it off, forever?",ios_or_software_update,@717004 Thank you for allowing us to address your concern. What options do you see within that message?,ios_or_software_update,
I've done this countless times. And I'm on my 4th replacement phone. What are you guys gonna do about this?,order_or_repair,@420887 Let's move over to DM using the link below to work on the issue further. https://t.co/GDrqU22YpT,order_or_repair,
Please fix this “your purchase can’t be processed now” shit. I’m getting fed up,purchase_or_billing,"@715079 We want to make sure we get you pointed in the right direction, in order to do so, we need some information from you. 

Please meet us in DM with more specifics of the issue so we can better assist. https://t.co/GDrqU22YpT",purchase_or_billing,
"Thx. When I connect my Nikon D800 to xfer images it crashes as soon as I press import & when emailing, the text just deletes. No probs b4.",connectivity_or_network,"@321559 Are you connecting the camera directly, or are you using the camera adapter?",connectivity_or_network,
please reply to my dm. thanks!,support_contact_or_dm,@299843 We've received your DM and will join you there shortly. Thanks!,support_contact_or_dm,
"The update is done, I disconnected the iPhone and turned it on but still nothing i got the Apple logo",ios_or_software_update,@793021 Let's meet up in Direct Message and look into this further.  Could you tell us what country you're located in? https://t.co/GDrqU22YpT,ios_or_software_update,
"Hello there, I’m having trouble with Apple Music. Sometimes my phone says it’s downloading a song and they never download till I restart my phone and even after that they never downloaded. Also new albums on Hip/Hip never show up till a week later? What’s wrong ? :(",app_or_media_service,@152746 Let us help you get this sorted out so you can enjoy your music as expected. Which iOS version are you using on your iPhone?,app_or_media_service,
it would be nice if you guys could stop turning on my Bluetooth and WiFi randomly thanks,connectivity_or_network,"@137638 If you are on the latest iOS, Bluetooth and Wi-Fi can be turned off completely in your Settings. See this guide for more information: https://t.co/G7BHuQnDS6",connectivity_or_network,
how do I fix a disabled Apple I.D after changing the password/ security questions?,account_or_icloud,@752769 We understand your concern! Please follow these steps and let us know the result: https://t.co/DYEXEbD7Im,account_or_icloud,
"how do we go about fixing the autocorrect for I?? I had to turn off my autocorrect in order to stop it, but still shows up",order_or_repair,@593578 We're happy to help. Check out this information here: https://t.co/xXaXefaskH DM us if you have further questions. https://t.co/GDrqU2kzhr,order_or_repair,
Hey ! The app popped up a “Touch ID purchase” that I did not want. How can I reverse?,purchase_or_billing,"@432963 We’re happy to lend a hand. To clarify, did the purchase through the app complete?",purchase_or_billing,
Does anyone reply to the DMs? 🙃,support_contact_or_dm,@128503 We have responded to your DM and will continue with you there. Thanks so much!,support_contact_or_dm,
I have a subscription that doesn’t work. Want to cancel and refund. Help?,purchase_or_billing,"@706935 For best assistance with your subscription and any refund requests, please reach out to us here: https://t.co/SDIe7UiyJN",purchase_or_billing,
I have to go through all voicemails now? I never listened to robocalls or those that somehow went to VM but no call log!? #11.1.1 👎,support_contact_or_dm,"@821077 We want you to be able to access your Voicemail in a way that's simple and convenient. Send us a message in DM, and to be sure we're on the same page, let us know if by log, you mean the voicemail transcription, or your call history. https://t.co/GDrqU22YpT",support_contact_or_dm,
"Last text I promise!! :-) what it comes down to is I physically cannot purchase the variant I want, due to arbitrary restrictions. Very poor",purchase_or_billing,@485665 We understand your concerns.  We'd recommend providing feedback here: https://t.co/eTPVYVFyd8,purchase_or_billing,
"Yes, on my IPhone. I️t tries to autocorrect in iMessage. It also appears on Facebook and Twitter.",device_or_hardware,"@698912 Next, which iOS version are you using? Does restarting the iPhone help?",device_or_hardware,
iOS 11 has ruined my phone. Everything crashes and the battery is trash and I have to restart it multiple times a daaaaay,ios_or_software_update,@594400 We want to help get your iPhone working properly. Which iPhone and exact iOS version are you using?,ios_or_software_update,
"my home screen randomly rotates, even when I have portrait lock on. Solutions?",device_or_hardware,"@178753 We're happy to help. First, which iPhone are you using? Second, which version of iOS are you on? Thanks!",device_or_hardware,
Hey - can you PLEASE provide an option to turn off the feature of WiFi/Bluetooth continuing to search for a connection even when you physically turn them off?? Annoying AF,connectivity_or_network,"@777936 To turn off Wi-Fi and Bluetooth completely, you can go to the Settings app. You can find out more about this from here: https://t.co/G7BHuQnDS6",connectivity_or_network,
So how can i get a refund for getting charged for an individual and family plan when i just have individual,battery_or_charging,@340293 Thanks for reaching out.  Let's get you in touch with an iTunes Store Advisor for further assistance at: https://t.co/SDIe7UiyJN,battery_or_charging,
Please,general_or_other,@135087 We've received your DM. Please check there for our reply.,general_or_other,
also I will be switching to windows and getting a pc. I’m never giving Apple my money again,purchase_or_billing,@780065 We’re happy to help with any complications you’re facing after updating. Could you let us know more details via a DM? We’ll move from there. https://t.co/GDrqU2kzhr,purchase_or_billing,
still didn’t fixed issue with Apple Photos 👌,app_or_media_service,@680761 We want to help. Can you explain what exactly is going on with your photos?,app_or_media_service,
"My phone is charging, but for a very short period of time, then the power goes off on the phone (version 11.1.2)",battery_or_charging,@784262 Thanks. It sounds like it's taking a very long time to charge your iPhone and then it shuts off? DM us which country you're in and we'll look further into this with you there. https://t.co/GDrqU22YpT,battery_or_charging,
Guys what do I️ do?? Can’t type the letter that sounds like eye (wonder if it’ll happen in this tweet?) 🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️,app_or_media_service,@592824 We'd recommend trying the steps here: https://t.co/xU1AGHStV6 let us know in DM if the issues continue. https://t.co/GDrqU22YpT,app_or_media_service,
Contact you through here?,support_contact_or_dm,"@204094 Yes, that's right. Send us a DM if you'd prefer to continue there. https://t.co/GDrqU22YpT",support_contact_or_dm,
I need apple to explain to me why my phone be getting extremely hot when it’s on the charger 🤔,battery_or_charging,@594078 We’d like to understand more about this situation. Please DM us which iPhone and iOS version you're using and we'll go from there. https://t.co/GDrqU22YpT,battery_or_charging,
my music doesn’t download onto my phone! I have Apple Music help me and yes I’m using WiFi,connectivity_or_network,@203882 We're happy to help with any music issue you're having. Go ahead &amp; reach out to us in DM &amp; we'll continue there. https://t.co/GDrqU22YpT,connectivity_or_network,
Really why does the Wifi constantly turn on? Really annoying!,connectivity_or_network,@289403 Hello. We want to make sure we look into this for you. Can you confirm what iOS version you are running?,connectivity_or_network,
And my ft lags and delays on my screen.. not due to connection. But my actual box lags,device_or_hardware,@569074 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,device_or_hardware,
"Every call, both after reboot and full restore. The phone rings but the UI to accept never shows up.",app_or_media_service,@251108 We understand. Let's take a closer look at this issue together in DM. https://t.co/GDrqU22YpT,app_or_media_service,
El wifi y bluetooth chupan mucho. Si los desconectas te durara un poco más que a mi tmbme pasaba,connectivity_or_network,@359115 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,connectivity_or_network,
I downloaded 11.0.2 and it still doesn’t work. There is no connection even when in perfect WiFi,connectivity_or_network,"@604308 To ensure this concern gets the attention to detail needed, let's continue our support in DM. Join with the link below. https://t.co/GDrqU22YpT",connectivity_or_network,
After update # ios1102 battery is a disaster! In 20 min 2% loss. that is underground.,ios_or_software_update,@160242 Glad you reached out. Please DM us and we can chat. https://t.co/GDrqU22YpT,ios_or_software_update,
nice little apple ID text message going around. Links to a very good fake website,account_or_icloud,@471021 Thanks for bringing that to our attention we’ll be glad to help. At this point we’d like to confirm if you have an Apple ID in a DM. https://t.co/GDrqU22YpT,account_or_icloud,
my dudes can u tell me how my 6s plus’ battery’s doing?,battery_or_charging,@691094 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT,battery_or_charging,
NO. WE ALL HAVING THE SAME ISSUE. FIX IT. You know you see I️t.,general_or_other,@301556 We'd like to assist you with this. Check out our article here: https://t.co/xU1AGHStV6 DM us any other questions. https://t.co/GDrqU22YpT,general_or_other,
fix this please I️,general_or_other,@206659 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,general_or_other,
I've already bought the Apple Music subscription on 18th Oct. Why is it asking me to buy it again?,purchase_or_billing,@508584 We'd love to help. Tell us which device and software version are you using? Click here to let us know in DM: https://t.co/GDrqU22YpT,purchase_or_billing,
I made one phone call. ONE. It lasted one minute ONE. how did my phone drop from 80% to 19%. My phone isn’t even 3 years old. Wtf,support_contact_or_dm,@196522 We want to look into this with you. Which iPhone are you using?,support_contact_or_dm,
just noticed some of my contacts have started disappearing. Currently running 11.1.1 on a iPhone 7+. What’s up?,device_or_hardware,@308567 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT,device_or_hardware,
Ok. This shit ➡️ I️ I️ I️ is getting really annoying,general_or_other,@643247 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,general_or_other,
rcvd phishing mail to apple id seeking to unlock account n card details n replicated url. how do they get my app ID,account_or_icloud,@446440 We value your privacy and security. Let's look into this further. Please send us a DM and tell us when you received the email. https://t.co/GDrqU22YpT,account_or_icloud,
Everyone is telling me how much I will love the switch to iPhone. Spent all morning with my phone frozen. Couldn’t reboot or anything. 😡 cc:,device_or_hardware,"@599689 Definitely not the kind of experience we want you to have after switching over to the iPhone, but no worries we are here to help. To start with, which type of iPhone do you have?",device_or_hardware,
I am testing replacement but there has to be a way.,order_or_repair,@492494 Hello there. Try out this workaround until this issue is fixed in a future update: https://t.co/xU1AGHStV6,order_or_repair,
"Like I've restored my 6, backed it up, synced it through wifi and without, even tried to add manually and no music will sync",connectivity_or_network,@612773 We’d like to help however we can with your iPhone. Send us a DM with more details of what's going on and we'll go from there. https://t.co/GDrqU22YpT,connectivity_or_network,
"and , what’s the score with my iPhone battery draining faster than bath 🛀 does?",device_or_hardware,"@560383 We'd be happy to look into what's going on with your battery. To start, DM us which iPhone and iOS version you're using. https://t.co/GDrqU22YpT",device_or_hardware,
I can't update my iPhone 6 to ios11!!!!,ios_or_software_update,@476584 We want to help. Are you trying to update through iTunes or via Wi-Fi on the phone directly? What happens when you try to update? Are you getting an error message?,ios_or_software_update,
"I’m having an issue that I’d thought would be fixed quicker, some games force the phone to redownload it’s content everytime",general_or_other,@535605 We'd be happy to help in any way we can. What content are you referring to? Game content? You can also DM us if you'd like: https://t.co/GDrqU22YpT,general_or_other,
this company's customer service is horrendous,order_or_repair,"@615771 We'd like to hear more about your experience. Please meet us in DM with more details, so we may better assist you. https://t.co/GDrqU22YpT",order_or_repair,
Wish this update wouldn’t have screwed my phone up so much,ios_or_software_update,"@207722 You've reached the right place for support. To start, can you tell us more about what's happening with your iPhone?",ios_or_software_update,
I’m gonna need to fix this keyboard issue with the letters and question mark,device_or_hardware,@503565 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_or_hardware,
i paid for my membership already why is my music like this,app_or_media_service,"@646699 We're glad you reached out about your Apple Music not giving you the option to download. Let's figure this one together. Please DM your iOS version, iPhone model, and country you're in. These requests are so we can find out your support options. https://t.co/GDrqU22YpT",app_or_media_service,
Whats up with the battery drain on my ipad ? Software upgrade and 20% drain after 20 minutes.,ios_or_software_update,@208875 Let's figure this out. Which version of iOS are you running?,ios_or_software_update,
After setting up #iPhoneX and re-pairing my S0 Watch - I lost an achievement in Activity (the Earth Day one.) Any ideas?,device_or_hardware,@484583 We'll look into this for you. DM us and we'll get started? https://t.co/GDrqU22YpT,device_or_hardware,
my cell service (TMobile) also seems far worse since the switch,order_or_repair,@287997 Let's team up and take a closer look at its cellular signal. What exactly is happening with it and which model do you have?,order_or_repair,
My phone has been at no service for like 2 days WHAT IS GOING ON,order_or_repair,@743536 Let's see what we can find today. Are you getting any error messages? Have you checked with your carrier about this yet?,order_or_repair,
I can connect to the network just fine but the speeds are so sluggish that it's basically unusable.,connectivity_or_network,"@423472 
We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT",connectivity_or_network,
"I need to change the shipping address of my order, but cannot get through via chat OR phone. HELP!",order_or_repair,"@439093 If you would like to view &amp; change your order, you can do this online. Click here: https://t.co/X6hTPkiwKU",order_or_repair,
"Since I’ve had EVERY iPhone since its inception and I did an update and lost all of my contacts, may I have a new phone? #lost",ios_or_software_update,@513243 We can help with your contacts. Send us a DM with your exact iOS version and we can get started. https://t.co/GDrqU22YpT,ios_or_software_update,
"So frustrating setting up an appt to come in - signed in w/ login info, can't move on w/o a 2factor authentification",account_or_icloud,@423589 We'll be glad to look into this with you. Please let us know what's going on in a DM. https://t.co/GDrqU22YpT,account_or_icloud,
when will you fix the bug for the automatic activation of the wifi!? Really fed up with that. Fix it. Thanks,connectivity_or_network,@260895 Thanks for reaching out to us. It is expected behavior for Wi-Fi to be re-enabled in certain conditions when using Control Center in iOS 11. You can learn more about this here: https://t.co/G7BHuQnDS6,connectivity_or_network,
"my drafts vs when I️ tweet, why the weird autocorrect? I️ changed the text replacement in my settings",order_or_repair,"@475670 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist.",order_or_repair,
It said Finnish is not supported lol,support_contact_or_dm,@698530 Learn about the languages Siri currently translates here: https://t.co/7n1ATPhFaQ Leave any feedback: https://t.co/eTPVYVFyd8,support_contact_or_dm,
WTH is up with #ios11 My phone is hung from last 24 hours and don’t know what to do; I phone hangs 🤷🏻‍♀️; what a disaster,ios_or_software_update,@573071 We want to be sure you can use your iPhone as you'd expect. We're happy to help. Send us a DM and we'll look into this further. https://t.co/GDrqU22YpT,ios_or_software_update,
6s 11.1.2,general_or_other,"@143496 Got it, thanks! Going forward, how are you trying to add songs to your iPhone? Also, what happens when you try to add a song, do you get a particular error message?",general_or_other,
horrible customer service. Literally held on for 15 minutes and no advisor helped me. No wonder y'all are frauds.,order_or_repair,"@819830 Hi there! We want to make sure you get the support you need. If you will, send us a DM with your concerns. We'll work with you there. https://t.co/GDrqU22YpT",order_or_repair,
"Hey , I have a problem to receive your SMS to verify my phone number on my apple ID and for two steps verification. HELP ! DM ?",account_or_icloud,@591343 Hey David. We'd like to help out and believe this will provide you more details: https://t.co/bF855rAnKh DM us if needed. https://t.co/GDrqU22YpT,account_or_icloud,
DUDE MY MAPS APP IS GLITCHING PLEASE HELP ME. I️ literally get lost EVERY day. I️ won’t survive. I’m doomed.,app_or_media_service,@618655 We're here for you! Please DM us. https://t.co/GDrqU22YpT,app_or_media_service,
"Upgrade to AppleTV 4K loses all my game progress- even ones synced to iCloud. That’s it for me, no more games on AppleTV, waste of money",account_or_icloud,@347363 We're happy to help with this. Our Apple TV team can be reached here: https://t.co/IBIY3vMgPj,account_or_icloud,
Does Anyone Know Of A Good Battery Saver For .? Their Battery Charge Doesn’t Last Long!,battery_or_charging,@159871 Try following this article: https://t.co/TpjqFp3jxD,battery_or_charging,
"No tone/Tone, but I can't hear when somebody's answering. Same with incoming calls.",support_contact_or_dm,"@302952 OK, thanks. Take a look at this article here, and send us a DM if the issue persists: https://t.co/XlmCP2gCtj https://t.co/GDrqU22YpT",support_contact_or_dm,
y’all need to do something about these keyboards,device_or_hardware,@501624 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,device_or_hardware,
"Yo , how is that when my debt card changes and all my payments get canceled you all still find a way to charge me? Get back at me",battery_or_charging,"@394676 For issues with billing, please reach out here: https://t.co/SDIe7UiyJN",battery_or_charging,
both wifi and cellular. Restart didn't change anything. Not surea bout downloaded songs. I don't think I have any on it.,connectivity_or_network,@341674 Can you download some songs or an album and test this out? DM us the results and we'll continue working with you there. https://t.co/GDrqU22YpT,connectivity_or_network,
how long for my pre order to process? I already have the order number but my car has yet to show a salezzzzr,order_or_repair,@432504 Thank you for reaching out to us. We'd like to get you in touch with our Sales Support. See this link: https://t.co/RmFSlCBcIE,order_or_repair,
"You guys are harassing customers, sold me a faulty handset and now harassing me in replacement. Horrible service support, feeling cheated after investing 90K🤬🤬🤬",order_or_repair,"@151817 Reach out to us via DM and fill us in on what exactly is occurring, then we can help out from there. https://t.co/GDrqU22YpT",order_or_repair,
This dumb IPhone still spelling my words wrong. Please fix the Problem folks pay to much money for the I to be A 😞👌🏽😩,device_or_hardware,"@271152 You've come to the right place! So we can provide you with the best support, please tell us which iPhone you have and the iOS version its running. You can locate the version by going to Settings &gt; General &gt; About &gt; Version.",device_or_hardware,
"When you download #HighSierra on your mac and suddenly it's all laggy as hell and can't do anything, thanks for breaking my computer",device_or_hardware,@313214 We're here for you. Tell us more about what you're experiencing. Is this happening with certain apps? Have you restarted?,device_or_hardware,
"what are the watch activity defaults for light, moderate, heavy?",general_or_other,"@342388 Thanks for reaching out, and we'd love to help. Which default settings are you referring to in the Activity app?",general_or_other,
"sent my phone in for repair, postage service says it was delivered at 7am its now 9pm and my repair status is still the same.",order_or_repair,@313807 We'd like to help. Go ahead and send us a DM and we'll see what we can do. Thanks. https://t.co/GDrqU22YpT,order_or_repair,
I may have to. It sucks bc I am 100% Apple girl all the way and have spent A LOT of money with them. Now there is a pop up asking for my confidential information?! I am so mad right now,purchase_or_billing,@189924 We'd like to help. We want you to have a good experience with your devices. Send us a DM and we can look into this together. https://t.co/GDrqU22YpT,purchase_or_billing,
"My iPhone X saga continues. I'm currently back to the iPhone 6 Apps don't download to the new phone so couldn't use Uber\Slack and other 'urgent' ones. Killed App Store and rebooted the device several times, no help. , anyone else, ideas?",device_or_hardware,@804897 We're happy to look into this with you so that you can enjoy your iPhone X. When you try to download your apps does anything happen? Do you receive any error messages?,device_or_hardware,
If you start a new message and start to type a contact name it will list every group that person has ever been in rather than showing the contact,support_contact_or_dm,@386811 You can leave feedback about this for us here: https://t.co/oWzjJxkvlC DM us with any questions. https://t.co/GDrqU22YpT,support_contact_or_dm,
"See, it normally gets warm, but I can't even touch this. And it doesn't charge half the time. I've taken to unplugging my chargers when not in use let they melt something",battery_or_charging,"@781990 We'd like to look into your options for your charger. We want to make sure it is working properly for you, and know how important it is to have a good charging source for your Mac. Meet us in DM so we can gather more information. https://t.co/GDrqU22YpT",battery_or_charging,
why my payment method is declined!! I don’t have any problem in my credit card and i pay all my bills in apple!,purchase_or_billing,@748091 We want to help. DM us and we'll go from there. https://t.co/GDrqU22YpT,purchase_or_billing,
